hash,health,hintsSolution,level,moves,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s0d6,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s1d6,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s2d6,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s3d6,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s4d6,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5,s5d6,s6d0,s6d1,s6d2,s6d3,s6d4,s6d5,s6d6
161,1,"D,D,U,R,D,L,R,U,D,D",161,14,start,marsh,ice,grass,,,,marsh,ice,grass,ice,,,,ice,grass,ice,marsh,,,,grass,ice,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,heart,gem,,,,,,gem,,,,,,gem,,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,"D,U,R,R,R,R,U,D",162,12,start,marsh,ice,ice,,,,marsh,marsh,ice,ice,,,,ice,ice,marsh,marsh,,,,ice,ice,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,hammer,warp,,,,gem,,,sword,,,,enemy,,,gem,,,,warp,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,
163,2,"D,R,R,U,R,D,D",163,10,start,ice,ice,grass,,,,ice,ice,grass,marsh,,,,ice,grass,marsh,marsh,,,,grass,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,heart,,enemy,,,,,,gem,,,,,gem,sword,,enemy,,,,enemy,,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
164,1,"D,R,U,R,D,L,U,D,L,D,L",164,18,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,marsh,marsh,marsh,marsh,,,,endClosed,marsh,marsh,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,gem,warp,,,,gem,gem,gem,gem,,,,heart,gem,gem,gem,,,,,sword,enemy,warp,,,,,,,,,,,,,,,,,,,,,,,,
165,1,"D,D,D,R,U,R,U,R,U,D,D,D",165,13,start,marsh,marsh,grass,,,,grass,marsh,marsh,grass,,,,grass,ice,ice,grass,,,,grass,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,heart,enemy,,hammer,,,,,,,boulder,,,,heart,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
166,1,"D,U,R,D,R,D,R",166,7,start,ice,ice,grass,,,,ice,ice,ice,grass,,,,ice,ice,ice,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,heart,enemy,boulder,,,,heart,hammer,gem,enemy,,,,heart,enemy,gem,boulder,,,,boulder,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
167,1,"D,R,D,R,U,L,R,D",167,9,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,heart,heart,enemy,,,,heart,gem,gem,gem,,,,heart,gem,enemy,gem,,,,enemy,heart,gem,,,,,,,,,,,,,,,,,,,,,,,,,
168,1,"R,R,U,U,R,D,R",168,7,start,ice,ice,ice,,,,ice,ice,grass,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,heart,warp,,,,boulder,,sword,,,,,warp,gem,gem,enemy,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1,"R,R,U,D,L,D,L,R",169,8,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,heart,warp,gem,,,,warp,,,,,,,,,,boulder,,,,enemy,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,
170,1,"R,D,L,U,D,R",170,6,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,heart,enemy,,,,enemy,sword,heart,enemy,,,,enemy,hammer,gem,enemy,,,,enemy,enemy,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
171,1,"R,D,L,D,L,R,U,R,D,R,D",171,11,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,heart,heart,enemy,,,,,,heart,,,,,enemy,heart,heart,,,,,gem,heart,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
172,1,"R,D,D,L,R,U,L,U,L,D,R,D,D",172,16,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,marsh,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,,,,gem,,,,,,,enemy,gem,,heart,,,,heart,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,"R,U,D,D,D,L,U,L,R,D,R",173,12,start,ice,ice,grass,,,,ice,ice,grass,ice,,,,grass,ice,ice,grass,,,,grass,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,boulder,gem,,gem,,,,sword,boulder,hammer,enemy,,,,warp,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1,"D,R,R,D,L,L,L,R,U,D,R,R,U,U",174,14,start,grass,grass,endClosed,,,,grass,ice,grass,grass,,,,grass,ice,grass,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,heart,boulder,,,,,gem,,,warp,,,,boulder,gem,boulder,warp,,,,gem,enemy,,sword,,,,,,,,,,,,,,,,,,,,,,,,
175,1,"R,R,U,D,D,D,L,U,L,D,R",175,11,start,ice,grass,ice,,,,ice,grass,ice,grass,,,,grass,ice,endClosed,ice,,,,ice,grass,ice,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,warp,,,,,gem,enemy,gem,,,,gem,enemy,,,,,,warp,gem,,sword,,,,,,,,,,,,,,,,,,,,,,,,
176,1,"D,U,R,R,R,R",176,9,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,marsh,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,warp,,,,gem,heart,,enemy,,,,boulder,boulder,boulder,boulder,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1,"D,U,R,R,D,L,L,L,D,R",177,13,start,marsh,ice,ice,,,,marsh,grass,grass,ice,,,,ice,grass,grass,grass,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,heart,boulder,hammer,gem,,,,gem,boulder,boulder,enemy,,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
178,1,"D,R,D,U,R,L,D,R",178,9,start,marsh,marsh,marsh,,,,ice,grass,grass,grass,,,,ice,ice,ice,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,,,,,boulder,boulder,gem,,,,gem,,heart,enemy,,,,boulder,,hammer,,,,,,,,,,,,,,,,,,,,,,,,,
179,1,"R,U,R,L,D,R,L,L,R,D,L,D,U,U,R,R",179,16,start,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,boulder,,,,enemy,gem,boulder,heart,,,,gem,boulder,gem,sword,,,,boulder,gem,warp,,,,,,,,,,,,,,,,,,,,,,,,,
180,1,"D,R,D,R,U,U,L,L,U",180,9,start,endClosed,grass,grass,,,,ice,grass,grass,grass,,,,ice,ice,ice,grass,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,hammer,,,,,enemy,sword,gem,,,,heart,gem,enemy,,,,,boulder,sword,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,
181,1,"R,L,D,R,L,R,U,D,U,R,U,D,D",181,13,start,ice,ice,marsh,,,,ice,grass,grass,grass,,,,ice,grass,grass,grass,,,,marsh,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,heart,heart,enemy,,,,,gem,boulder,gem,,,,,warp,gem,enemy,,,,enemy,sword,warp,,,,,,,,,,,,,,,,,,,,,,,,,
182,1,"R,D,R,U,D,L,L,D,U,R,D,D,D,R",182,14,start,grass,grass,grass,,,,ice,grass,grass,grass,,,,ice,grass,grass,grass,,,,ice,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,heart,,,,,warp,warp,gem,,,,gem,boulder,boulder,enemy,,,,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1,"U,D,L,D,D,U,R,L,R,U,U,R,R",183,13,grass,grass,grass,endClosed,,,,grass,start,marsh,marsh,,,,grass,grass,grass,grass,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,hammer,,,sword,,,,boulder,warp,boulder,boulder,,,,gem,enemy,gem,warp,,,,,,,,,,,,,,,,,,,,,,,,
184,1,"L,U,D,R,D,R,U,D,L,D,L,R,R,R,L,U",184,16,grass,grass,grass,grass,,,,grass,start,grass,grass,,,,grass,grass,endClosed,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,sword,boulder,enemy,gem,,,,,,warp,enemy,,,,boulder,warp,,boulder,,,,sword,,enemy,gem,,,,,,,,,,,,,,,,,,,,,,,,
185,1,"D,D,D,U,U,U,R,R,R,D,D,U,R,R,R,D",185,18,start,grass,grass,grass,,,,grass,grass,grass,marsh,,,,grass,grass,grass,grass,,,,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,warp,,,,warp,boulder,boulder,,,,,enemy,hammer,boulder,sword,,,,gem,enemy,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
186,1,"R,L,D,L,D,D,R,L,U,L,L,D,U,R",186,14,start,grass,grass,grass,,,,grass,grass,grass,grass,,,,grass,endClosed,grass,grass,,,,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,warp,boulder,hammer,warp,,,,,,boulder,boulder,,,,gem,boulder,,gem,,,,,,,,,,,,,,,,,,,,,,,,
187,1,"D,D,D,R,L,U,U,U,R,D,L",187,13,start,ice,ice,marsh,,,,grass,grass,grass,ice,,,,grass,grass,grass,ice,,,,grass,grass,endClosed,ice,,,,,,,,,,,,,,,,,,,,,,,,,,heart,gem,,,,,hammer,boulder,boulder,gem,,,,boulder,,boulder,enemy,,,,gem,sword,,gem,,,,,,,,,,,,,,,,,,,,,,,,
188,1,"R,L,D,R,D,D,U",188,7,start,ice,ice,ice,,,,ice,marsh,grass,marsh,,,,ice,marsh,endClosed,marsh,,,,ice,grass,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,gem,heart,enemy,,,,sword,,warp,,,,,gem,,,,,,,enemy,warp,gem,enemy,,,,,,,,,,,,,,,,,,,,,,,,
189,1,"D,U,R,R,D,R,L,L,D,D,L",189,12,start,grass,ice,grass,,,,grass,marsh,grass,ice,,,,grass,grass,marsh,marsh,,,,endClosed,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,enemy,,,,heart,,boulder,gem,,,,boulder,hammer,,,,,,,boulder,,sword,,,,,,,,,,,,,,,,,,,,,,,,
190,1,"D,R,L,U,R,D,L,U,R,R,D,R",190,13,start,ice,ice,ice,,,,ice,grass,grass,ice,,,,ice,grass,grass,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,hammer,gem,warp,gem,,,,,warp,gem,enemy,,,,,heart,boulder,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,"D,D,U,U,R,D,U,R,D,R",191,11,start,grass,grass,marsh,,,,grass,ice,ice,marsh,,,,grass,ice,ice,marsh,,,,marsh,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,sword,,,,,gem,gem,enemy,,,,heart,gem,gem,enemy,,,,heart,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
192,1,"D,R,U,L,R,D",192,6,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,enemy,,,,,gem,sword,heart,gem,,,,heart,gem,heart,enemy,,,,enemy,,enemy,,,,,,,,,,,,,,,,,,,,,,,,,
193,1,"R,D,L,U,L,R,U,L,R,D",193,12,start,ice,ice,ice,,,,ice,ice,marsh,ice,,,,ice,ice,endClosed,ice,,,,ice,marsh,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,gem,enemy,gem,,,,sword,,,,,,,,enemy,,heart,,,,,,,,,,,,,,,,,,,,,,,,
194,1,"R,D,R,D,U,L,D,R,U",194,9,start,ice,ice,ice,,,,ice,endClosed,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,boulder,,,,hammer,,,hammer,,,,boulder,,,,,,,gem,,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,
195,1,"R,D,U,L,D,U,R,D,L,D,R",195,11,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,enemy,warp,heart,,,,,boulder,gem,,,,,enemy,warp,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1,"R,D,R,U,U,R,D,R",196,12,marsh,ice,ice,marsh,,,,ice,start,ice,ice,,,,ice,ice,endClosed,ice,,,,marsh,ice,ice,marsh,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,gem,,,,,,sword,warp,,,,warp,enemy,,,,,,gem,,,gem,,,,,,,,,,,,,,,,,,,,,,,,
197,1,"D,R,U,L,L,R,L,R,D,U,U",197,11,start,ice,endClosed,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,enemy,,,,,gem,warp,gem,,,,,gem,warp,gem,,,,,heart,,gem,,,,,,,,,,,,,,,,,,,,,,,,
198,1,"R,L,R,L,R,R,L,R,D,L,D,L,R",198,13,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,ice,endClosed,ice,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,,boulder,gem,gem,,,,enemy,gem,,enemy,,,,heart,,warp,heart,,,,,,,,,,,,,,,,,,,,,,,,
199,1,"R,R,U,D,U,L,D,U,D,L",199,10,start,ice,ice,ice,,,,ice,ice,ice,ice,,,,ice,endClosed,ice,ice,,,,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,,,,warp,gem,,,,,,boulder,,,gem,,,,heart,boulder,enemy,hammer,,,,,,,,,,,,,,,,,,,,,,,,
200,1,"R,D,L,U,R,U,L,D,R",200,13,start,ice,ice,marsh,,,,ice,ice,endClosed,ice,,,,ice,marsh,ice,ice,,,,ice,ice,ice,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,gem,,,,,,,enemy,gem,heart,,,,,enemy,heart,,gem,,,,,,,,,,,,,,,,,,,,,,,,
201,1,"R,R,D,D,L,L,D,D,R,R,R,U,R,D",201,14,start,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,gem,gem,boulder,boulder,,,boulder,boulder,gem,boulder,boulder,,,gem,gem,gem,boulder,boulder,,,gem,boulder,boulder,gem,gem,,,gem,gem,gem,gem,,,,,,,,,,,,,,,,,
202,1,"D,D,R,R,U,R,R,D,U,L,L,D",202,19,start,grass,marsh,marsh,marsh,,,marsh,grass,marsh,grass,marsh,,,marsh,grass,endClosed,grass,ice,,,marsh,grass,grass,grass,marsh,,,marsh,marsh,marsh,marsh,marsh,,,,,,,,,,,,,,,,,,boulder,,,,,,hammer,boulder,,boulder,gem,,,hammer,boulder,,boulder,,,,,boulder,boulder,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,
203,2,"D,L,R,R,D,L,L,D,U,L,D,D",203,14,start,ice,marsh,ice,marsh,,,ice,ice,ice,ice,ice,,,marsh,ice,marsh,ice,marsh,,,ice,ice,ice,ice,ice,,,marsh,ice,marsh,ice,endClosed,,,,,,,,,,,,,,,,,,gem,enemy,,enemy,,,warp,gem,sword,gem,,,,enemy,gem,enemy,gem,enemy,,,,gem,sword,gem,warp,,,enemy,gem,enemy,,,,,,,,,,,,,,,,,,
204,2,"D,D,U,U,L,L,R,R,D,D,R,D,R,R",204,23,start,grass,marsh,marsh,marsh,,,grass,grass,marsh,marsh,marsh,,,ice,ice,grass,marsh,marsh,,,ice,ice,ice,grass,grass,,,ice,ice,ice,grass,endClosed,,,,,,,,,,,,,,,,,,boulder,gem,,,,,,boulder,,sword,,,,warp,,enemy,,warp,,,,hammer,,boulder,boulder,,,,,gem,boulder,,,,,,,,,,,,,,,,,
205,1,"R,R,U,D,L,L,D,D,D,D,U,R,L,U,U,R,R,R,L,D,U,U,L,R",205,24,start,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,warp,,boulder,,,,,,boulder,gem,boulder,,,,boulder,gem,boulder,,,,boulder,gem,boulder,,hammer,,,hammer,boulder,,warp,,,,,,,,,,,,,,,,,
206,2,"R,R,R,R,D,D,D,D,U,U,L,U,U,L,L,L,D,D,D,D",206,23,start,grass,marsh,grass,grass,,,grass,marsh,grass,grass,grass,,,grass,marsh,grass,grass,grass,,,grass,marsh,grass,grass,grass,,,endClosed,grass,marsh,grass,grass,,,,,,,,,,,,,,,,,,hammer,,boulder,gem,,,,,boulder,gem,gem,,,,,boulder,gem,,,,enemy,,boulder,,,,,,,,boulder,sword,,,,,,,,,,,,,,,,
207,1,"R,R,R,R,L,L,D,L,D,L,D,D,D,R,R,L,D,R",207,18,start,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,gem,hammer,,,,,gem,boulder,boulder,,,,gem,warp,boulder,boulder,,,gem,boulder,boulder,gem,gem,,,warp,boulder,boulder,gem,,,,,,,,,,,,,,,,,
208,2,"R,D,R,U,L,L,D,U,R,D,R",208,11,start,grass,ice,ice,grass,,,grass,ice,ice,ice,grass,,,grass,ice,ice,ice,grass,,,grass,ice,ice,ice,grass,,,grass,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,boulder,,,sword,hammer,gem,enemy,boulder,,,boulder,,,boulder,boulder,,,boulder,,gem,,boulder,,,boulder,,,enemy,,,,,,,,,,,,,,,,,
209,1,"R,D,L,U,U,L,R,R,D,R,U",209,16,start,ice,ice,ice,endClosed,,,ice,marsh,marsh,marsh,ice,,,ice,marsh,ice,marsh,ice,,,ice,marsh,marsh,marsh,ice,,,ice,ice,ice,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,gem,,,,,hammer,,,gem,,,,boulder,,,,,,,,,,,,,,,,,,,,
210,1,"R,R,R,L,D,D,D,D,L,U,D,L,R,D,D,U,U,L,U,U",210,21,start,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,endClosed,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,gem,boulder,,,enemy,enemy,,boulder,gem,,,,enemy,gem,boulder,warp,,,enemy,enemy,,,boulder,,,hammer,warp,gem,boulder,sword,,,,,,,,,,,,,,,,
211,1,"D,D,D,R,D,R,R,U,R,U,L,U,R,U,L,L,D,L,U",211,28,start,endClosed,marsh,grass,marsh,,,grass,marsh,grass,marsh,grass,,,marsh,grass,marsh,grass,marsh,,,grass,marsh,grass,marsh,grass,,,marsh,grass,marsh,grass,marsh,,,,,,,,,,,,,,,,,,,,,gem,,,gem,,gem,,gem,,,,,,gem,,,,gem,gem,,gem,gem,,,,gem,,gem,,,,,,,,,,,,,,,,,
212,1,"D,D,D,R,U,U,R,R,U,D,D,D,D,R,L,U,U,U,L,U",212,24,start,marsh,endClosed,grass,marsh,,,marsh,marsh,grass,grass,marsh,,,grass,grass,marsh,marsh,grass,,,grass,grass,marsh,grass,grass,,,marsh,marsh,grass,grass,grass,,,,,,,,,,,,,,,,,,,,hammer,,,,,gem,,,,,,,,,,,,,gem,,,,boulder,,,,,,boulder,gem,,,,,,,,,,,,,,,,
213,1,"D,D,R,R,U,U,R,D,L,D,D,R,R,D,U,U",213,19,start,marsh,grass,marsh,endClosed,,,ice,grass,ice,grass,ice,,,grass,marsh,grass,marsh,grass,,,ice,grass,ice,grass,ice,,,grass,marsh,grass,marsh,grass,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,gem,,,,gem,,gem,,gem,,,,gem,,gem,,,,gem,,gem,,gem,,,,,,,,,,,,,,,,
214,1,"D,R,R,R,D,D,R,U,L,L,L,L,D,U,U,U,R",214,21,start,endClosed,grass,grass,grass,,,grass,grass,marsh,marsh,grass,,,grass,marsh,marsh,grass,grass,,,grass,marsh,marsh,grass,grass,,,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,,,warp,,,hammer,boulder,,,boulder,hammer,,boulder,gem,,,gem,boulder,boulder,gem,gem,,,,,,,,,,,,,,,,
215,1,"L,D,D,L,D,U,U,R,R,U,L,D",215,19,grass,ice,start,ice,grass,,,marsh,ice,ice,ice,marsh,,,marsh,marsh,ice,marsh,marsh,,,marsh,ice,ice,ice,marsh,,,grass,ice,endClosed,ice,grass,,,,,,,,,,,,,,,,,boulder,,,,boulder,,,,,gem,,,,,,gem,enemy,gem,,,,,,gem,,,,,sword,boulder,,boulder,hammer,,,,,,,,,,,,,,,,
216,1,"D,D,D,D,U,U,R,R,U,R,R,D,D,D,U,U,U,U",216,20,start,ice,grass,ice,endClosed,,,grass,marsh,grass,marsh,grass,,,grass,marsh,grass,marsh,grass,,,grass,marsh,marsh,marsh,grass,,,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,,boulder,,,,,gem,,gem,,gem,,,sword,,gem,,sword,,,enemy,enemy,hammer,enemy,enemy,,,gem,,enemy,,gem,,,,,,,,,,,,,,,,
217,1,"R,R,R,R,D,D,D,D,L,L,L,L,R,R,R,R,U,U,L",217,19,start,grass,grass,grass,grass,,,marsh,marsh,marsh,marsh,grass,,,endClosed,ice,ice,ice,grass,,,marsh,marsh,marsh,marsh,grass,,,grass,grass,grass,grass,grass,,,,,,,,,,,,,,,,,,sword,,,gem,,,boulder,,,,,,,,enemy,enemy,enemy,sword,,,boulder,,,,,,,gem,sword,,,gem,,,,,,,,,,,,,,,,
218,1,"D,R,U,L,U,R,D,L,D,U,R,U",218,12,start,grass,endClosed,grass,grass,,,ice,grass,ice,ice,grass,,,ice,grass,grass,ice,grass,,,ice,grass,grass,ice,grass,,,ice,ice,ice,ice,grass,,,,,,,,,,,,,,,,,,boulder,,boulder,boulder,,,,hammer,,,boulder,,,,enemy,sword,,boulder,,,,gem,enemy,,boulder,,,,,,,boulder,,,,,,,,,,,,,,,,
219,1,"R,R,D,D,D,D,L,L,L,L,U,U,U,U,R,R,D,U,U,D",219,25,marsh,grass,start,grass,marsh,,,grass,marsh,grass,marsh,grass,,,grass,grass,marsh,grass,grass,,,grass,marsh,grass,marsh,grass,,,marsh,grass,endClosed,grass,marsh,,,,,,,,,,,,,,,,,gem,,,,gem,,,,,warp,,,,,,,gem,,,,,,,warp,,,,,gem,,,,gem,,,,,,,,,,,,,,,,
220,1,"U,U,U,R,R,R,D,D,L,D,U",220,11,grass,grass,ice,grass,grass,,,grass,ice,ice,ice,grass,,,ice,ice,endClosed,ice,ice,,,grass,ice,ice,ice,grass,,,start,grass,ice,grass,grass,,,,,,,,,,,,,,,,,heart,,gem,,sword,,,,enemy,,enemy,,,,gem,,,,gem,,,,enemy,,enemy,,,,,,gem,,heart,,,,,,,,,,,,,,,,
221,1,"D,D,D,R,R,R,R,L,R",221,9,start,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,grass,,,grass,grass,grass,grass,endClosed,,,,,,,,,,,,,,,,,,warp,gem,gem,gem,,,,,,,,,,,enemy,enemy,enemy,,,,,,,,,,,gem,gem,gem,warp,,,,,,,,,,,,,,,,,
222,1,"D,R,D,L,D,L,R,U,R,D,L,D,R,D,R,D",222,16,start,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,gem,,,,,,,boulder,boulder,,,boulder,,,,gem,,,gem,,boulder,boulder,,,,,,,,,,,,,,,,,
223,1,"D,U,R,D,R,L,U,R,U,D",223,10,start,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,gem,boulder,sword,,,,boulder,,,,,,,gem,,,gem,,,gem,,hammer,,enemy,,,boulder,,,boulder,,,,,,,,,,,,,,,,,
224,1,"R,D,L,U,D,L,U,R,U,D,L,R",224,12,start,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,sword,,,,boulder,,,,,,,,,,,boulder,,,gem,,gem,enemy,,,,,,,,,,,,,,,,,
225,1,"D,R,U,L,D,R,U,R,D",225,9,start,ice,ice,ice,ice,,,ice,grass,ice,grass,ice,,,ice,ice,ice,ice,ice,,,grass,ice,ice,grass,ice,,,ice,grass,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,gem,,gem,,,,,,,,,,,gem,,,gem,enemy,,,,gem,sword,boulder,,,,,,,,,,,,,,,,,
226,1,"D,R,U,R,L,U,R,D,L,D,R",226,11,start,ice,ice,grass,ice,,,ice,ice,grass,ice,ice,,,ice,grass,ice,grass,ice,,,grass,ice,grass,ice,ice,,,ice,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,gem,,hammer,,,,gem,,gem,boulder,,,gem,,gem,boulder,enemy,,,boulder,sword,boulder,enemy,,,,,,,,,,,,,,,,,
227,1,"R,D,R,L,L,D,R",227,7,start,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,ice,,,ice,ice,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,warp,sword,gem,,,,,,,,gem,,,,,gem,,warp,,,,enemy,,gem,,,,,,,,,,,,,,,,,
